Section,Total_Electors,SLP,SLP_Perc,UWP,UWP_Perc,LPM,LPM_Perc,Rejected,Rej_Perc,Votes_Cast,VC_Perc,Not_Cast,VNC_Perc
A,460,133,45.24%,141,47.96%,1,0.34%,19,6.46%,294,63.91%,166,36.09%
B-C,511,140,53.44%,115,43.89%,1,0.38%,6,2.29%,262,51.27%,249,48.73%
D-E,514,140,140.00%,178,54.94%,3,0.93%,3,0.93%,324,63.04%,190,36.96%
F-H,456,126,47.01%,138,51.49%,1,0.37%,3,1.12%,268,58.77%,188,41.23%
I-JON,326,92,51.11%,86,47.78%,1,0.56%,1,0.56%,180,55.21%,146,44.79%
JOR-K,239,42,34.43%,75,61.48%,1,0.82%,4,3.28%,122,51.05%,117,48.95%
L,276,62,39.24%,96,60.76%,0,0.00%,0,0.00%,158,57.25%,118,42.75%
M,391,98,43.75%,122,54.46%,2,0.89%,2,0.89%,224,57.29%,167,42.71%
N-PL,338,86,41.55%,118,57.00%,1,0.48%,2,0.97%,207,61.24%,131,38.76%
PO-S,485,115,40.35%,169,59.30%,1,0.35%,0,0.00%,285,58.76%,200,41.24%
T-Z,205,41,39.05%,64,60.95%,0,0.00%,0,0.00%,105,51.22%,100,48.78%
Sub,4201,1075,44.26%,1302,53.60%,12,0.49%,40,1.65%,2429,57.82%,1772,42.18%
Police,27,,,,,,,,,,,,
