Section,Total_Electors,SLP,SLP_Perc,UWP,UWP_Perc,Rejected,Rej_Perc,Votes_Cast,VC_Perc,Not_Cast,VNC_Perc
A-CE,374,94,53.71%,81,46.29%,0,0.00%,175,46.79%,199,53.21%
CH-D,408,84,43.75%,103,53.65%,5,2.60%,192,47.06%,216,52.94%
E-G,387,86,50.29%,84,49.12%,1,0.58%,171,44.19%,216,55.81%
H-JN,368,84,51.85%,77,47.53%,1,0.62%,162,44.02%,206,55.98%
JO-L,369,101,58.38%,69,39.88%,3,1.73%,173,46.88%,196,53.12%
M-O,299,77,58.33%,52,39.39%,3,2.27%,132,44.15%,167,55.85%
P-SM,387,92,51.11%,81,45.00%,7,3.89%,180,46.51%,207,53.49%
SO-Z,343,89,50.28%,82,46.33%,6,3.39%,177,51.60%,166,48.40%
Sub,2935,707,51.91%,629,46.18%,26,1.91%,1362,46.41%,1573,53.59%
Police,47,,,,,,,,,,
